Comment,Designator,Footprint,LCSC
1k,"R1,R5",R_0402_1005Metric,C11702
TLV73333PDBV,U1,SOT-23-5,C134139
27,"R3,R4",R_0402_1005Metric,C138021
100n,"C11,C12,C13,C14,C15,C16,C5,C6,C7,C9",C_0402_1005Metric,C1525
30p,"C2,C3",C_0402_1005Metric,C1570
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-Assembly,C165948
RP2040,U3,RP2040-QFN-56,C2040
10k,R2,R_0402_1005Metric,C25744
5.1k,"R6,R7",R_0402_1005Metric,C25905
SW_Push,"SW19,SW2,SW20,SW3,SW4,SW5,SW6,SWr1",SW_SPST_Omron_B3FS-100xP,C271750
SWX10,"SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW7,SW8,SW9",Kailh_socket_PG1350_optional,C400231
1u,"C1,C10,C4,C8",C_0402_1005Metric,C52923
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C97521
~,F2,BOURNS-PTL2043_20mm-slide-pot,
~,F4,BOURNS-PTL2043_20mm-slide-pot,
~,F1,BOURNS-PTL2043_20mm-slide-pot,
~,F3,BOURNS-PTL2043_20mm-slide-pot,
